Tahun,Golongan Umur,Jumlah Bekerja,Jumlah Pengangguran,Jumlah Angkatan Kerja,Persentase Bekerja,Persentase Pengangguran
2016,15 - 19,4472447,1747151,6219598,71.91,28.09
2016,20 - 24,12407611,2327760,14735371,84.20,15.80
2016,25 - 29,14420691,1099494,15520185,92.92,7.08
2016,30 - 34,14830082,559107,15389189,96.37,3.63
2016,35 - 39,15021162,339303,15360465,97.79,2.21
2016,40 - 44,14433676,302422,14736098,97.95,2.05
2016,45 - 49,12877326,176741,13054067,98.65,1.35
2016,50 - 54,10803519,182836,10986355,98.34,1.66
2016,55 - 59,8348022,131259,8479281,98.45,1.55
2016,60 +,10797437,165702,10963139,98.49,1.51
2017,15 - 19,5142340,1954126,7096466,72.46,27.54
2017,20 - 24,10997685,2192794,13190479,83.38,16.62
2017,25 - 29,13005071,942386,13947457,93.24,6.76
2017,30 - 34,15048964,530219,15579183,96.60,3.40
2017,35 - 39,17202398,431185,17633583,97.55,2.45
2017,40 - 44,14276271,270261,14546532,98.14,1.86
2017,45 - 49,13660154,209213,13869367,98.49,1.51
2017,50 - 54,11394107,178588,11572695,98.46,1.54
2017,55 - 59,8814593,154821,8969414,98.27,1.73
2017,60 +,11480840,176730,11657570,98.48,1.52
2018,15 - 19,4475885,1649825,6125710,73.07,26.93
2018,20 - 24,12250760,2471559,14722319,83.21,16.79
2018,25 - 29,15119890,1133511,16253401,93.03,6.97
2018,30 - 34,15581139,555859,16136998,96.56,3.44
2018,35 - 39,15773575,400804,16174379,97.52,2.48
2018,40 - 44,15172482,277747,15450229,98.20,1.80
2018,45 - 49,13998118,224142,14222260,98.42,1.58
2018,50 - 54,11727381,165300,11892681,98.61,1.39
2018,55 - 59,9011062,113972,9125034,98.75,1.25
2018,60 +,13171894,80666,13252560,99.39,0.61
2019,15 - 19,4577291,1617950,6195241,73.88,26.12
2019,20 - 24,12736484,2362143,15098627,84.36,15.64
2019,25 - 29,15252156,1181384,16433540,92.81,7.19
2019,30 - 34,15701113,572878,16273991,96.48,3.52
2019,35 - 39,15874420,365259,16239679,97.75,2.25
2019,40 - 44,15253763,321300,15575063,97.94,2.06
2019,45 - 49,14242586,263223,14505809,98.19,1.81
2019,50 - 54,12099514,202984,12302498,98.35,1.65
2019,55 - 59,9386280,123901,9510181,98.70,1.30
2019,60 +,13631664,93402,13725066,99.32,0.68
2020,15 - 19,5049940,1624465,6674405,75.66,24.34
2020,20 - 24,11975718,2756019,14731737,81.29,18.71
2020,25 - 29,14578808,1577866,16156674,90.23,9.77
2020,30 - 34,15281561,931925,16213486,94.25,5.75
2020,35 - 39,15579183,703300,16282483,95.68,4.32
2020,40 - 44,15134905,618192,15753097,96.08,3.92
2020,45 - 49,14183849,520964,14704813,96.46,3.54
2020,50 - 54,12279282,460375,12739657,96.39,3.61
2020,55 - 59,9627329,319179,9946508,96.79,3.21
2020,60 +,14763609,255469,15019078,98.30,1.70
2021,15 - 19,4676824,1469332,6146156,76.09,23.91
2021,20 - 24,12055519,2597807,14653326,82.27,17.73
2021,25 - 29,14864041,1516745,16380786,90.74,9.26
2021,30 - 34,15569058,893483,16462541,94.57,5.43
2021,35 - 39,15956237,667887,16624124,95.98,4.02
2021,40 - 44,15629288,552795,16182083,96.58,3.42
2021,45 - 49,14628212,498954,15127166,96.70,3.30
2021,50 - 54,12775660,284918,13060578,97.82,2.18
2021,55 - 59,9950218,201166,10151384,98.02,1.98
2021,60 +,14945466,418965,15364431,97.27,2.73
