Tahun,Provinsi,Jumlah Bekerja,Jumlah Pengangguran,Jumlah Angkatan Kerja,Persentase Bekerja,Persentase Pengangguran
2016,ACEH,2087045,170898,2257943,92.43,7.57
2016,SUMATERA UTARA,5991229,371680,6362909,94.16,5.84
2016,SUMATERA BARAT,2347911,125903,2473814,94.91,5.09
2016,RIAU,2765946,222006,2987952,92.57,7.43
2016,JAMBI,1624522,67671,1692193,96.00,4.00
2016,SUMATERA SELATAN,3998637,180157,4178794,95.69,4.31
2016,BENGKULU,964971,32942,997913,96.70,3.30
2016,LAMPUNG,3931321,190347,4121668,95.38,4.62
2016,KEP. BANGKA BELITUNG,686830,18343,705173,97.40,2.60
2016,KEP. RIAU,859813,71622,931435,92.31,7.69
2016,DKI JAKARTA,4861832,317007,5178839,93.88,6.12
2016,JAWA BARAT,19202038,1873861,21075899,91.11,8.89
2016,JAWA TENGAH,16511136,801330,17312466,95.37,4.63
2016,DI YOGYAKARTA,2042400,57036,2099436,97.28,2.72
2016,JAWA TIMUR,19114563,839283,19953846,95.79,4.21
2016,BANTEN,5088497,498596,5587093,91.08,8.92
2016,BALI,2416555,46484,2463039,98.11,1.89
2016,NUSA TENGGARA BARAT,2367310,97021,2464331,96.06,3.94
2016,NUSA TENGGARA TIMUR,2277068,76580,2353648,96.75,3.25
2016,KALIMANTAN BARAT,2287823,100935,2388758,95.77,4.23
2016,KALIMANTAN TENGAH,1248189,63238,1311427,95.18,4.82
2016,KALIMANTAN SELATAN,1965088,113296,2078384,94.55,5.45
2016,KALIMANTAN TIMUR,1581239,136653,1717892,92.05,7.95
2016,KALIMANTAN UTARA,273423,15099,288522,94.77,5.23
2016,SULAWESI UTARA,1110564,73157,1183721,93.82,6.18
2016,SULAWESI TENGAH,1459803,49702,1509505,96.71,3.29
2016,SULAWESI SELATAN,3694712,186291,3881003,95.20,4.80
2016,SULAWESI TENGGARA,1219548,34076,1253624,97.28,2.72
2016,GORONTALO,546668,15528,562196,97.24,2.76
2016,SULAWESI BARAT,624182,21489,645671,96.67,3.33
2016,MALUKU,690786,52363,743149,92.95,7.05
2016,MALUKU UTARA,503479,21047,524526,95.99,4.01
2016,PAPUA BARAT,402360,32457,434817,92.54,7.46
2016,PAPUA,1664485,57677,1722162,96.65,3.35
2017,ACEH,2138512,150265,2288777,93.43,6.57
2017,SUMATERA UTARA,6365989,377288,6743277,94.40,5.60
2017,SUMATERA BARAT,2344972,138703,2483675,94.42,5.58
2017,RIAU,2781021,184564,2965585,93.78,6.22
2017,JAMBI,1657817,66816,1724633,96.13,3.87
2017,SUMATERA SELATAN,3942534,181135,4123669,95.61,4.39
2017,BENGKULU,932976,36279,969255,96.26,3.74
2017,LAMPUNG,3896230,176257,4072487,95.67,4.33
2017,KEP. BANGKA BELITUNG,672618,26399,699017,96.22,3.78
2017,KEP. RIAU,896931,69160,966091,92.84,7.16
2017,DKI JAKARTA,4509171,346945,4856116,92.86,7.14
2017,JAWA BARAT,20551575,1839428,22391003,91.78,8.22
2017,JAWA TENGAH,17186674,823938,18010612,95.43,4.57
2017,DI YOGYAKARTA,2053168,64019,2117187,96.98,3.02
2017,JAWA TIMUR,20099220,838496,20937716,96.00,4.00
2017,BANTEN,5077400,519563,5596963,90.72,9.28
2017,BALI,2398307,36143,2434450,98.52,1.48
2017,NUSA TENGGARA BARAT,2316720,79449,2396169,96.68,3.32
2017,NUSA TENGGARA TIMUR,2320061,78548,2398609,96.73,3.27
2017,KALIMANTAN BARAT,2303198,105061,2408259,95.64,4.36
2017,KALIMANTAN TENGAH,1222707,53962,1276669,95.77,4.23
2017,KALIMANTAN SELATAN,1975161,98956,2074117,95.23,4.77
2017,KALIMANTAN TIMUR,1540675,114289,1654964,93.09,6.91
2017,KALIMANTAN UTARA,312416,18315,330731,94.46,5.54
2017,SULAWESI UTARA,1040826,80483,1121309,92.82,7.18
2017,SULAWESI TENGAH,1374214,54369,1428583,96.19,3.81
2017,SULAWESI SELATAN,3598663,213695,3812358,94.39,5.61
2017,SULAWESI TENGGARA,1160974,39631,1200605,96.70,3.30
2017,GORONTALO,524316,23450,547766,95.72,4.28
2017,SULAWESI BARAT,595004,19744,614748,96.79,3.21
